   1: notes = 100000000000, scaleid = A01, rotationid = 0, modeid = A001, inverse = A001, scalename = C
 281: notes = 100100001110, scaleid = E10, rotationid = 3, modeid = E257, inverse = E125, scalename = 35112
 282: notes = 100001110100, scaleid = E10, rotationid = 4, modeid = E297, inverse = E226, scalename = 51123
 283: notes = 111010001000, scaleid = E11, rotationid = 0, modeid = E012, inverse = E294, scalename = 11244
 284: notes = 110100010001, scaleid = E11, rotationid = 1, modeid = E058, inverse = E099, scalename = 12441
 285: notes = 101000100011, scaleid = E11, rotationid = 2, modeid = E194, inverse = E025, scalename = 24411
 286: notes = 100010001110, scaleid = E11, rotationid = 3, modeid = E292, inverse = E124, scalename = 44112
 287: notes = 100011101000, scaleid = E11, rotationid = 4, modeid = E262, inverse = E276, scalename = 41124
 288: notes = 111010000100, scaleid = E12, rotationid = 0, modeid = E013, inverse = E259, scalename = 11253
 289: notes = 110100001001, scaleid = E12, rotationid = 1, modeid = E061, inverse = E084, scalename = 12531
 290: notes = 101000010011, scaleid = E12, rotationid = 2, modeid = E200, inverse = E020, scalename = 25311
 291: notes = 100001001110, scaleid = E12, rotationid = 3, modeid = E312, inverse = E123, scalename = 53112
 292: notes = 100111010000, scaleid = E12, rotationid = 4, modeid = E206, inverse = E306, scalename = 31125
 293: notes = 111010000010, scaleid = E13, rotationid = 0, modeid = E014, inverse = E203, scalename = 11262
 294: notes = 110100000101, scaleid = E13, rotationid = 1, modeid = E063, inverse = E063, scalename = 12621
 295: notes = 101000001011, scaleid = E13, rotationid = 2, modeid = E203, inverse = E014, scalename = 26211
 296: notes = 100000101110, scaleid = E13, rotationid = 3, modeid = E322, inverse = E122, scalename = 62112
 297: notes = 101110100000, scaleid = E13, rotationid = 4, modeid = E122, inverse = E322, scalename = 21126
 298: notes = 111001100000, scaleid = E14, rotationid = 0, modeid = E016, inverse = E321, scalename = 11316
 299: notes = 110011000001, scaleid = E14, rotationid = 1, modeid = E070, inverse = E113, scalename = 13161
 300: notes = 100110000011, scaleid = E14, rotationid = 2, modeid = E225, inverse = E031, scalename = 31611
 301: notes = 110000011100, scaleid = E14, rotationid = 3, modeid = E111, inverse = E210, scalename = 16113
 302: notes = 100000111001, scaleid = E14, rotationid = 4, modeid = E318, inverse = E065, scalename = 61131
 303: notes = 111001010000, scaleid = E15, rotationid = 0, modeid = E017, inverse = E311, scalename = 11325
 304: notes = 110010100001, scaleid = E15, rotationid = 1, modeid = E075, inverse = E107, scalename = 13251
 305: notes = 100101000011, scaleid = E15, rotationid = 2, modeid = E240, inverse = E028, scalename = 32511
 306: notes = 101000011100, scaleid = E15, rotationid = 3, modeid = E195, inverse = E209, scalename = 25113
 307: notes = 100001110010, scaleid = E15, rotationid = 4, modeid = E298, inverse = E170, scalename = 51132
 308: notes = 111001001000, scaleid = E16, rotationid = 0, modeid = E018, inverse = E291, scalename = 11334
 309: notes = 110010010001, scaleid = E16, rotationid = 1, modeid = E079, inverse = E097, scalename = 13341
 310: notes = 100100100011, scaleid = E16, rotationid = 2, modeid = E250, inverse = E024, scalename = 33411
 311: notes = 100100011100, scaleid = E16, rotationid = 3, modeid = E251, inverse = E208, scalename = 34113
 312: notes = 100011100100, scaleid = E16, rotationid = 4, modeid = E263, inverse = E241, scalename = 41133
 313: notes = 111001000100, scaleid = E17, rotationid = 0, modeid = E019, inverse = E256, scalename = 11343
 314: notes = 110010001001, scaleid = E17, rotationid = 1, modeid = E082, inverse = E082, scalename = 13431
 315: notes = 100100010011, scaleid = E17, rotationid = 2, modeid = E256, inverse = E019, scalename = 34311
 316: notes = 100010011100, scaleid = E17, rotationid = 3, modeid = E286, inverse = E207, scalename = 43113
 317: notes = 100111001000, scaleid = E17, rotationid = 4, modeid = E207, inverse = E286, scalename = 31134
 318: notes = 111001000010, scaleid = E18, rotationid = 0, modeid = E020, inverse = E200, scalename = 11352
 319: notes = 110010000101, scaleid = E18, rotationid = 1, modeid = E084, inverse = E061, scalename = 13521
 320: notes = 100100001011, scaleid = E18, rotationid = 2, modeid = E259, inverse = E013, scalename = 35211
 321: notes = 100001011100, scaleid = E18, rotationid = 3, modeid = E306, inverse = E206, scalename = 52113
 322: notes = 101110010000, scaleid = E18, rotationid = 4, modeid = E123, inverse = E312, scalename = 21135
 323: notes = 111000110000, scaleid = E19, rotationid = 0, modeid = E022, inverse = E305, scalename = 11415
 324: notes = 110001100001, scaleid = E19, rotationid = 1, modeid = E090, inverse = E104, scalename = 14151
 325: notes = 100011000011, scaleid = E19, rotationid = 2, modeid = E275, inverse = E027, scalename = 41511
 326: notes = 110000111000, scaleid = E19, rotationid = 3, modeid = E101, inverse = E265, scalename = 15114
 327: notes = 100001110001, scaleid = E19, rotationid = 4, modeid = E299, inverse = E086, scalename = 51141
 328: notes = 111000101000, scaleid = E20, rotationid = 0, modeid = E023, inverse = E285, scalename = 11424
 329: notes = 110001010001, scaleid = E20, rotationid = 1, modeid = E094, inverse = E094, scalename = 14241
 330: notes = 100010100011, scaleid = E20, rotationid = 2, modeid = E285, inverse = E023, scalename = 42411
 331: notes = 101000111000, scaleid = E20, rotationid = 3, modeid = E185, inverse = E264, scalename = 24114
 332: notes = 100011100010, scaleid = E20, rotationid = 4, modeid = E264, inverse = E185, scalename = 41142
 333: notes = 111000100100, scaleid = E21, rotationid = 0, modeid = E024, inverse = E250, scalename = 11433
 334: notes = 110001001001, scaleid = E21, rotationid = 1, modeid = E097, inverse = E079, scalename = 14331
 335: notes = 100010010011, scaleid = E21, rotationid = 2, modeid = E291, inverse = E018, scalename = 43311
 336: notes = 100100111000, scaleid = E21, rotationid = 3, modeid = E241, inverse = E263, scalename = 33114
 337: notes = 100111000100, scaleid = E21, rotationid = 4, modeid = E208, inverse = E251, scalename = 31143
 338: notes = 111000100010, scaleid = E22, rotationid = 0, modeid = E025, inverse = E194, scalename = 11442
 339: notes = 110001000101, scaleid = E22, rotationid = 1, modeid = E099, inverse = E058, scalename = 14421
 340: notes = 100010001011, scaleid = E22, rotationid = 2, modeid = E294, inverse = E012, scalename = 44211
 341: notes = 100010111000, scaleid = E22, rotationid = 3, modeid = E276, inverse = E262, scalename = 42114
 342: notes = 101110001000, scaleid = E22, rotationid = 4, modeid = E124, inverse = E292, scalename = 21144
 343: notes = 111000011000, scaleid = E23, rotationid = 0, modeid = E027, inverse = E275, scalename = 11514
 344: notes = 110000110001, scaleid = E23, rotationid = 1, modeid = E104, inverse = E090, scalename = 15141
 345: notes = 100001100011, scaleid = E23, rotationid = 2, modeid = E305, inverse = E022, scalename = 51411
 346: notes = 110001110000, scaleid = E23, rotationid = 3, modeid = E086, inverse = E299, scalename = 14115
 347: notes = 100011100001, scaleid = E23, rotationid = 4, modeid = E265, inverse = E101, scalename = 41151
 348: notes = 111000010100, scaleid = E24, rotationid = 0, modeid = E028, inverse = E240, scalename = 11523
 349: notes = 110000101001, scaleid = E24, rotationid = 1, modeid = E107, inverse = E075, scalename = 15231
 350: notes = 100001010011, scaleid = E24, rotationid = 2, modeid = E311, inverse = E017, scalename = 52311
 351: notes = 101001110000, scaleid = E24, rotationid = 3, modeid = E170, inverse = E298, scalename = 23115
 352: notes = 100111000010, scaleid = E24, rotationid = 4, modeid = E209, inverse = E195, scalename = 31152
 353: notes = 111000010010, scaleid = E25, rotationid = 0, modeid = E029, inverse = E184, scalename = 11532
 354: notes = 110000100101, scaleid = E25, rotationid = 1, modeid = E109, inverse = E054, scalename = 15321
 355: notes = 100001001011, scaleid = E25, rotationid = 2, modeid = E314, inverse = E011, scalename = 53211
 356: notes = 100101110000, scaleid = E25, rotationid = 3, modeid = E226, inverse = E297, scalename = 32115
 357: notes = 101110000100, scaleid = E25, rotationid = 4, modeid = E125, inverse = E257, scalename = 21153
 358: notes = 111000001100, scaleid = E26, rotationid = 0, modeid = E031, inverse = E225, scalename = 11613
 359: notes = 110000011001, scaleid = E26, rotationid = 1, modeid = E113, inverse = E070, scalename = 16131
 360: notes = 100000110011, scaleid = E26, rotationid = 2, modeid = E321, inverse = E016, scalename = 61311
 361: notes = 110011100000, scaleid = E26, rotationid = 3, modeid = E065, inverse = E318, scalename = 13116
 362: notes = 100111000001, scaleid = E26, rotationid = 4, modeid = E210, inverse = E111, scalename = 31161
 363: notes = 111000001010, scaleid = E27, rotationid = 0, modeid = E032, inverse = E169, scalename = 11622
 364: notes = 110000010101, scaleid = E27, rotationid = 1, modeid = E115, inverse = E049, scalename = 16221
 365: notes = 100000101011, scaleid = E27, rotationid = 2, modeid = E324, inverse = E010, scalename = 62211
 366: notes = 101011100000, scaleid = E27, rotationid = 3, modeid = E149, inverse = E317, scalename = 22116
 367: notes = 101110000010, scaleid = E27, rotationid = 4, modeid = E126, inverse = E201, scalename = 21162
 368: notes = 111000000110, scaleid = E28, rotationid = 0, modeid = E034, inverse = E148, scalename = 11712
 369: notes = 110000001101, scaleid = E28, rotationid = 1, modeid = E118, inverse = E043, scalename = 17121
 370: notes = 100000011011, scaleid = E28, rotationid = 2, modeid = E328, inverse = E009, scalename = 71211
 371: notes = 110111000000, scaleid = E28, rotationid = 3, modeid = E037, inverse = E327, scalename = 12117
 372: notes = 101110000001, scaleid = E28, rotationid = 4, modeid = E127, inverse = E117, scalename = 21171
 373: notes = 110110100000, scaleid = E29, rotationid = 0, modeid = E038, inverse = E323, scalename = 12126
 374: notes = 101101000001, scaleid = E29, rotationid = 1, modeid = E133, inverse = E114, scalename = 21261
 375: notes = 110100000110, scaleid = E29, rotationid = 2, modeid = E062, inverse = E147, scalename = 12612
 376: notes = 101000001101, scaleid = E29, rotationid = 3, modeid = E202, inverse = E042, scalename = 26121
 377: notes = 100000110110, scaleid = E29, rotationid = 4, modeid = E319, inverse = E128, scalename = 61212
 378: notes = 110110010000, scaleid = E30, rotationid = 0, modeid = E039, inverse = E313, scalename = 12135
 379: notes = 101100100001, scaleid = E30, rotationid = 1, modeid = E138, inverse = E108, scalename = 21351
 380: notes = 110010000110, scaleid = E30, rotationid = 2, modeid = E083, inverse = E145, scalename = 13512
 381: notes = 100100001101, scaleid = E30, rotationid = 3, modeid = E258, inverse = E041, scalename = 35121
 382: notes = 100001101100, scaleid = E30, rotationid = 4, modeid = E300, inverse = E211, scalename = 51213
 383: notes = 110110001000, scaleid = E31, rotationid = 0, modeid = E040, inverse = E293, scalename = 12144
 384: notes = 101100010001, scaleid = E31, rotationid = 1, modeid = E142, inverse = E098, scalename = 21441
 385: notes = 110001000110, scaleid = E31, rotationid = 2, modeid = E098, inverse = E142, scalename = 14412
 386: notes = 100010001101, scaleid = E31, rotationid = 3, modeid = E293, inverse = E040, scalename = 44121
 387: notes = 100011011000, scaleid = E31, rotationid = 4, modeid = E266, inverse = E266, scalename = 41214
 388: notes = 110110000100, scaleid = E32, rotationid = 0, modeid = E041, inverse = E258, scalename = 12153
 389: notes = 101100001001, scaleid = E32, rotationid = 1, modeid = E145, inverse = E083, scalename = 21531
 390: notes = 110000100110, scaleid = E32, rotationid = 2, modeid = E108, inverse = E138, scalename = 15312
 391: notes = 100001001101, scaleid = E32, rotationid = 3, modeid = E313, inverse = E039, scalename = 53121
 392: notes = 100110110000, scaleid = E32, rotationid = 4, modeid = E211, inverse = E300, scalename = 31215
 393: notes = 110110000010, scaleid = E33, rotationid = 0, modeid = E042, inverse = E202, scalename = 12162
 394: notes = 101100000101, scaleid = E33, rotationid = 1, modeid = E147, inverse = E062, scalename = 21621
 395: notes = 110000010110, scaleid = E33, rotationid = 2, modeid = E114, inverse = E133, scalename = 16212
 396: notes = 100000101101, scaleid = E33, rotationid = 3, modeid = E323, inverse = E038, scalename = 62121
 397: notes = 101101100000, scaleid = E33, rotationid = 4, modeid = E128, inverse = E319, scalename = 21216
 398: notes = 110101100000, scaleid = E34, rotationid = 0, modeid = E044, inverse = E320, scalename = 12216
 399: notes = 101011000001, scaleid = E34, rotationid = 1, modeid = E154, inverse = E112, scalename = 22161
 400: notes = 101100000110, scaleid = E34, rotationid = 2, modeid = E146, inverse = E146, scalename = 21612
 401: notes = 110000011010, scaleid = E34, rotationid = 3, modeid = E112, inverse = E154, scalename = 16122
 402: notes = 100000110101, scaleid = E34, rotationid = 4, modeid = E320, inverse = E044, scalename = 61221
 403: notes = 110101010000, scaleid = E35, rotationid = 0, modeid = E045, inverse = E310, scalename = 12225
 404: notes = 101010100001, scaleid = E35, rotationid = 1, modeid = E159, inverse = E106, scalename = 22251
 405: notes = 101010000110, scaleid = E35, rotationid = 2, modeid = E167, inverse = E144, scalename = 22512
 406: notes = 101000011010, scaleid = E35, rotationid = 3, modeid = E196, inverse = E153, scalename = 25122
 407: notes = 100001101010, scaleid = E35, rotationid = 4, modeid = E301, inverse = E155, scalename = 51222
 408: notes = 110101001000, scaleid = E36, rotationid = 0, modeid = E046, inverse = E290, scalename = 12234
 409: notes = 101010010001, scaleid = E36, rotationid = 1, modeid = E163, inverse = E096, scalename = 22341
 410: notes = 101001000110, scaleid = E36, rotationid = 2, modeid = E182, inverse = E141, scalename = 23412
 411: notes = 100100011010, scaleid = E36, rotationid = 3, modeid = E252, inverse = E152, scalename = 34122
 412: notes = 100011010100, scaleid = E36, rotationid = 4, modeid = E267, inverse = E231, scalename = 41223
 413: notes = 110101000100, scaleid = E37, rotationid = 0, modeid = E047, inverse = E255, scalename = 12243
 414: notes = 101010001001, scaleid = E37, rotationid = 1, modeid = E166, inverse = E081, scalename = 22431
 415: notes = 101000100110, scaleid = E37, rotationid = 2, modeid = E192, inverse = E137, scalename = 24312
 416: notes = 100010011010, scaleid = E37, rotationid = 3, modeid = E287, inverse = E151, scalename = 43122
 417: notes = 100110101000, scaleid = E37, rotationid = 4, modeid = E212, inverse = E280, scalename = 31224
 418: notes = 110101000010, scaleid = E38, rotationid = 0, modeid = E048, inverse = E199, scalename = 12252
 419: notes = 101010000101, scaleid = E38, rotationid = 1, modeid = E168, inverse = E060, scalename = 22521
 420: notes = 101000010110, scaleid = E38, rotationid = 2, modeid = E198, inverse = E132, scalename = 25212
